2022-07-24 10:31:15,936 WARN  [main] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='index.html']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-24 10:31:15,936 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='index.html']
2022-07-24 10:31:15,937 WARN  [main] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='/images/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-24 10:31:15,937 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='/images/**']
2022-07-24 10:31:16,097 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5fb05c07, org.springframework.security.web.context.SecurityContextPersistenceFilter@4c31b6c2, org.springframework.security.web.header.HeaderWriterFilter@81a56b2, org.springframework.security.web.authentication.logout.LogoutFilter@76641439, com.greenrent.security.jwt.AuthTokenFilter@294ab038, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@d164938, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@501b15b9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@238c63df, org.springframework.security.web.session.SessionManagementFilter@2ebd6a0d, org.springframework.security.web.access.ExceptionTranslationFilter@77511e9c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@15ae31b]
2022-07-24 10:31:19,229 INFO  [main] org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver:Exposing 1 endpoint(s) beneath base path '/actuator'
2022-07-24 10:31:19,361 INFO  [main] com.greenrent.GreenRentApplicationTests:Started GreenRentApplicationTests in 13.415 seconds (JVM running for 15.165)
2022-07-24 10:31:19,949 INFO  [SpringApplicationShutdownHook] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean:Closing JPA EntityManagerFactory for persistence unit 'default'
2022-07-24 10:31:19,953 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Shutdown initiated...
2022-07-24 10:31:19,959 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Shutdown completed.
2022-07-24 10:58:08,841 INFO  [main] com.greenrent.GreenRentApplicationTests:Starting GreenRentApplicationTests using Java 17.0.2 on DESKTOP-1U063IB with PID 8252 (started by Furkan in C:\Users\Furkan\Documents\workspace-greenrent\GreenRent)
2022-07-24 10:58:08,845 DEBUG [main] com.greenrent.GreenRentApplicationTests:Running with Spring Boot v2.6.9, Spring v5.3.21
2022-07-24 10:58:08,846 INFO  [main] com.greenrent.GreenRentApplicationTests:No active profile set, falling back to 1 default profile: "default"
2022-07-24 10:58:10,872 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-07-24 10:58:11,075 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Finished Spring Data repository scanning in 190 ms. Found 6 JPA repository interfaces.
2022-07-24 10:58:12,241 INFO  [main] org.hibernate.jpa.internal.util.LogHelper:HHH000204: Processing PersistenceUnitInfo [name: default]
2022-07-24 10:58:12,334 INFO  [main] org.hibernate.Version:HHH000412: Hibernate ORM core version 5.6.9.Final
2022-07-24 10:58:12,593 INFO  [main] org.hibernate.annotations.common.Version:HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-07-24 10:58:12,913 INFO  [main] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Starting...
2022-07-24 10:58:13,423 INFO  [main] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Start completed.
2022-07-24 10:58:13,453 INFO  [main] org.hibernate.dialect.Dialect:HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2022-07-24 10:58:14,858 INFO  [main] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator:HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-07-24 10:58:14,883 INFO  [main] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean:Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-07-24 10:58:16,437 WARN  [main] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration:spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-07-24 10:58:16,976 WARN  [main] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='/v3/api-docs/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-24 10:58:16,978 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='/v3/api-docs/**']
2022-07-24 10:58:16,979 WARN  [main] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='swagger-ui.html']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-24 10:58:16,979 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='swagger-ui.html']
2022-07-24 10:58:16,979 WARN  [main] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='/swagger-ui/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-24 10:58:16,980 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='/swagger-ui/**']
2022-07-24 10:58:16,980 WARN  [main] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='/']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-24 10:58:16,981 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='/']
2022-07-24 10:58:16,981 WARN  [main] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='index.html']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-24 10:58:16,981 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='index.html']
2022-07-24 10:58:16,982 WARN  [main] org.springframework.security.config.annotation.web.builders.WebSecurity:You are asking Spring Security to ignore Ant [pattern='/images/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-07-24 10:58:16,982 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will not secure Ant [pattern='/images/**']
2022-07-24 10:58:17,118 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@726dd367, org.springframework.security.web.context.SecurityContextPersistenceFilter@32182bf8, org.springframework.security.web.header.HeaderWriterFilter@2bd158ea, org.springframework.security.web.authentication.logout.LogoutFilter@16a14076, com.greenrent.security.jwt.AuthTokenFilter@255b84a9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@79e28671, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1e7797db, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@433362e0, org.springframework.security.web.session.SessionManagementFilter@6e757f39, org.springframework.security.web.access.ExceptionTranslationFilter@4fae4c3b, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4def900a]
2022-07-24 10:58:19,939 INFO  [main] org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver:Exposing 1 endpoint(s) beneath base path '/actuator'
2022-07-24 10:58:20,052 INFO  [main] com.greenrent.GreenRentApplicationTests:Started GreenRentApplicationTests in 11.891 seconds (JVM running for 13.516)
2022-07-24 10:58:20,568 INFO  [SpringApplicationShutdownHook] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean:Closing JPA EntityManagerFactory for persistence unit 'default'
2022-07-24 10:58:20,572 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Shutdown initiated...
